movie,year,imdb,metascore,votes,description
Pan's Labyrinth,(2006),8.2,98        ,662845,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino Royale,(2006),8.0,80        ,651886,"
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Blood Diamond,(2006),8.0,64        ,543916,"
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
X-Men: The Last Stand,(2006),6.6,58        ,513830,"
The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
The Pursuit of Happyness,(2006),8.0,64        ,504660,"
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
Children of Men,(2006),7.9,84        ,496815,"
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Little Miss Sunshine,(2006),7.8,80        ,476967,"
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
The Da Vinci Code,(2006),6.6,46        ,430345,"
A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Cars,(2006),7.2,73        ,415332,"
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Devil Wears Prada,(2006),6.9,62        ,414383,"
A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89        ,405737,"
Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
The Lives of Others,(2006),8.4,89        ,386877,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Illusionist,(2006),7.6,68        ,371371,"
In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Inside Man,(2006),7.6,76        ,370702,"
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
Mission: Impossible III,(2006),6.9,66        ,354971,"
IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response."
Night at the Museum,(2006),6.4,48        ,344780,"
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
Click,(2006),6.4,45        ,329410,"
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
Lucky Number Slevin,(2006),7.7,53        ,312454,"
A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Apocalypto,(2006),7.8,68        ,311381,"
As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
Deja Vu,(2006),7.1,59        ,310337,"
After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
Babel,(I) (2006),7.5,69        ,302284,"
Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
The Holiday,(2006),6.9,52        ,283387,"
Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Superman Returns,(2006),6.1,72        ,282801,"
Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
Ice Age: The Meltdown,(2006),6.8,60        ,276805,"
Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
The Fast and the Furious: Tokyo Drift,(2006),6.0,45        ,269951,"
A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
Perfume: The Story of a Murderer,(2006),7.5,56        ,249455,"
Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Crank,(2006),6.9,57        ,249034,"
Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops."
The Fountain,(2006),7.2,51        ,238655,"
As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Silent Hill,(2006),6.5,31        ,228615,"
A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Stranger Than Fiction,(2006),7.6,67        ,228459,"
I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
Rocky Balboa,(2006),7.1,63        ,215900,"
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Underworld: Evolution,(2006),6.7,36        ,199890,"
Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
Saw III,(2006),6.2,48        ,192968,"
Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test."
The Last King of Scotland,(2006),7.6,74        ,185947,"
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
Happy Feet,(2006),6.4,77        ,185088,"
Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66        ,184234,"
Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Over the Hedge,(2006),6.7,67        ,174526,"
A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
The Hills Have Eyes,(2006),6.4,52        ,170823,"
A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization."
Idiocracy,(2006),6.5,66        ,162649,"
Private Joe Bauers, a decisively average American, is selected as a guinea pig for a top-secret hibernation program but is forgotten, awakening to a future so incredibly moronic he's easily the most intelligent person alive."
Letters from Iwo Jima,(2006),7.9,89        ,162532,"
The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
She's the Man,(2006),6.3,45        ,158922,"
When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
The Prestige,(2006),8.5,66        ,1312612,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,(2006),8.5,85        ,1305714,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
300,(2006),7.6,52        ,812873,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,53        ,711489,"
Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Pan's Labyrinth,(2006),8.2,98        ,662845,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino Royale,(2006),8.0,80        ,651886,"
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Blood Diamond,(2006),8.0,64        ,543916,"
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
X-Men: The Last Stand,(2006),6.6,58        ,513830,"
The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
The Pursuit of Happyness,(2006),8.0,64        ,504660,"
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
Children of Men,(2006),7.9,84        ,496815,"
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Little Miss Sunshine,(2006),7.8,80        ,476967,"
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
The Da Vinci Code,(2006),6.6,46        ,430345,"
A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Cars,(2006),7.2,73        ,415332,"
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Devil Wears Prada,(2006),6.9,62        ,414383,"
A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89        ,405737,"
Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
The Lives of Others,(2006),8.4,89        ,386877,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Illusionist,(2006),7.6,68        ,371371,"
In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Inside Man,(2006),7.6,76        ,370702,"
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
Mission: Impossible III,(2006),6.9,66        ,354971,"
IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response."
Night at the Museum,(2006),6.4,48        ,344780,"
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
Click,(2006),6.4,45        ,329410,"
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
Lucky Number Slevin,(2006),7.7,53        ,312454,"
A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Apocalypto,(2006),7.8,68        ,311381,"
As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
Deja Vu,(2006),7.1,59        ,310337,"
After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
Babel,(I) (2006),7.5,69        ,302284,"
Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
The Holiday,(2006),6.9,52        ,283387,"
Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Superman Returns,(2006),6.1,72        ,282801,"
Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
Ice Age: The Meltdown,(2006),6.8,60        ,276805,"
Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
The Fast and the Furious: Tokyo Drift,(2006),6.0,45        ,269951,"
A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
Perfume: The Story of a Murderer,(2006),7.5,56        ,249455,"
Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Crank,(2006),6.9,57        ,249034,"
Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops."
The Fountain,(2006),7.2,51        ,238655,"
As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Silent Hill,(2006),6.5,31        ,228615,"
A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Stranger Than Fiction,(2006),7.6,67        ,228459,"
I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
Rocky Balboa,(2006),7.1,63        ,215900,"
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Underworld: Evolution,(2006),6.7,36        ,199890,"
Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
Saw III,(2006),6.2,48        ,192968,"
Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test."
The Last King of Scotland,(2006),7.6,74        ,185947,"
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
Happy Feet,(2006),6.4,77        ,185088,"
Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66        ,184234,"
Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Over the Hedge,(2006),6.7,67        ,174526,"
A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
The Hills Have Eyes,(2006),6.4,52        ,170823,"
A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization."
Idiocracy,(2006),6.5,66        ,162649,"
Private Joe Bauers, a decisively average American, is selected as a guinea pig for a top-secret hibernation program but is forgotten, awakening to a future so incredibly moronic he's easily the most intelligent person alive."
Letters from Iwo Jima,(2006),7.9,89        ,162532,"
The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
She's the Man,(2006),6.3,45        ,158922,"
When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
The Prestige,(2006),8.5,66        ,1312612,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,(2006),8.5,85        ,1305714,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
300,(2006),7.6,52        ,812873,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,53        ,711489,"
Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Pan's Labyrinth,(2006),8.2,98        ,662845,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino Royale,(2006),8.0,80        ,651886,"
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Blood Diamond,(2006),8.0,64        ,543916,"
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
X-Men: The Last Stand,(2006),6.6,58        ,513830,"
The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
The Pursuit of Happyness,(2006),8.0,64        ,504660,"
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
Children of Men,(2006),7.9,84        ,496815,"
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Little Miss Sunshine,(2006),7.8,80        ,476967,"
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
The Da Vinci Code,(2006),6.6,46        ,430345,"
A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Cars,(2006),7.2,73        ,415332,"
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Devil Wears Prada,(2006),6.9,62        ,414383,"
A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89        ,405737,"
Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
The Lives of Others,(2006),8.4,89        ,386877,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Illusionist,(2006),7.6,68        ,371371,"
In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Inside Man,(2006),7.6,76        ,370702,"
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
Mission: Impossible III,(2006),6.9,66        ,354971,"
IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response."
Night at the Museum,(2006),6.4,48        ,344780,"
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
Click,(2006),6.4,45        ,329410,"
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
Lucky Number Slevin,(2006),7.7,53        ,312454,"
A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Apocalypto,(2006),7.8,68        ,311381,"
As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
Deja Vu,(2006),7.1,59        ,310337,"
After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
Babel,(I) (2006),7.5,69        ,302284,"
Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
The Holiday,(2006),6.9,52        ,283387,"
Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Superman Returns,(2006),6.1,72        ,282801,"
Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
Ice Age: The Meltdown,(2006),6.8,60        ,276805,"
Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
The Fast and the Furious: Tokyo Drift,(2006),6.0,45        ,269951,"
A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
Perfume: The Story of a Murderer,(2006),7.5,56        ,249455,"
Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Crank,(2006),6.9,57        ,249034,"
Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops."
The Fountain,(2006),7.2,51        ,238655,"
As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Silent Hill,(2006),6.5,31        ,228615,"
A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Stranger Than Fiction,(2006),7.6,67        ,228459,"
I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
Rocky Balboa,(2006),7.1,63        ,215900,"
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Underworld: Evolution,(2006),6.7,36        ,199890,"
Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
Saw III,(2006),6.2,48        ,192968,"
Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test."
The Last King of Scotland,(2006),7.6,74        ,185947,"
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
Happy Feet,(2006),6.4,77        ,185088,"
Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66        ,184234,"
Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Over the Hedge,(2006),6.7,67        ,174526,"
A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
The Hills Have Eyes,(2006),6.4,52        ,170823,"
A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization."
Idiocracy,(2006),6.5,66        ,162649,"
Private Joe Bauers, a decisively average American, is selected as a guinea pig for a top-secret hibernation program but is forgotten, awakening to a future so incredibly moronic he's easily the most intelligent person alive."
Letters from Iwo Jima,(2006),7.9,89        ,162532,"
The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
She's the Man,(2006),6.3,45        ,158922,"
When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
The Prestige,(2006),8.5,66        ,1312612,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,(2006),8.5,85        ,1305714,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
300,(2006),7.6,52        ,812873,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,53        ,711489,"
Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
Pan's Labyrinth,(2006),8.2,98        ,662845,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
Casino Royale,(2006),8.0,80        ,651886,"
After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Blood Diamond,(2006),8.0,64        ,543916,"
A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
X-Men: The Last Stand,(2006),6.6,58        ,513830,"
The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
The Pursuit of Happyness,(2006),8.0,64        ,504660,"
A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career."
Children of Men,(2006),7.9,84        ,496815,"
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Little Miss Sunshine,(2006),7.8,80        ,476967,"
A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus."
The Da Vinci Code,(2006),6.6,46        ,430345,"
A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Cars,(2006),7.2,73        ,415332,"
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
The Devil Wears Prada,(2006),6.9,62        ,414383,"
A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89        ,405737,"
Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
The Lives of Others,(2006),8.4,89        ,386877,"
In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
The Illusionist,(2006),7.6,68        ,371371,"
In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
Inside Man,(2006),7.6,76        ,370702,"
A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
Mission: Impossible III,(2006),6.9,66        ,354971,"
IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response."
Night at the Museum,(2006),6.4,48        ,344780,"
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc."
Click,(2006),6.4,45        ,329410,"
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
Lucky Number Slevin,(2006),7.7,53        ,312454,"
A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Apocalypto,(2006),7.8,68        ,311381,"
As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
Deja Vu,(2006),7.1,59        ,310337,"
After a ferry is bombed in New Orleans, an A.T.F. agent joins a unique investigation using experimental surveillance technology to find the bomber, but soon finds himself becoming obsessed with one of the victims."
Babel,(I) (2006),7.5,69        ,302284,"
Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
The Holiday,(2006),6.9,52        ,283387,"
Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Superman Returns,(2006),6.1,72        ,282801,"
Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world."
Ice Age: The Meltdown,(2006),6.8,60        ,276805,"
Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
The Fast and the Furious: Tokyo Drift,(2006),6.0,45        ,269951,"
A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
Perfume: The Story of a Murderer,(2006),7.5,56        ,249455,"
Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
Crank,(2006),6.9,57        ,249034,"
Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops."
The Fountain,(2006),7.2,51        ,238655,"
As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Silent Hill,(2006),6.5,31        ,228615,"
A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
Stranger Than Fiction,(2006),7.6,67        ,228459,"
I.R.S. auditor Harold Crick suddenly finds his mundane Chicago life to be the subject of narration only he can hear: narration that begins to affect his entire existence, from his work to his love life to his death."
Rocky Balboa,(2006),7.1,63        ,215900,"
Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Underworld: Evolution,(2006),6.7,36        ,199890,"
Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them."
Saw III,(2006),6.2,48        ,192968,"
Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test."
The Last King of Scotland,(2006),7.6,74        ,185947,"
Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s."
